I1,Q1,I2,Q2,I3,Q3,I1_dpd,Q1_dpd,I2_dpd,Q2_dpd,I3_dpd,Q3_dpd
0.05108062614659079,0.02954863307266029,-0.28566980561921085,-0.01228028736538378,-0.014063694774927749,0.13641910431184512,0.0762939453125,-0.01947021484375,-0.31353759765625,-0.01995849609375,-0.12701416015625,0.1224365234375
0.2267801142297304,-0.21171156499876503,-0.06227342414414228,0.010452702489586298,-0.20526392721563233,0.11690840799595995,0.09002685546875,-0.3179931640625,-0.044677734375,0.0152587890625,-0.32958984375,-0.03997802734375
0.07500990771273783,-0.32528571700740894,0.22396217927304315,0.06113421874078831,-0.30583954033336874,0.039389358373122754,-0.12322998046875,-0.3111572265625,0.2889404296875,0.0850830078125,-0.36016845703125,-0.2076416015625
-0.0915424098997027,-0.13313182850127123,0.2000685860480171,0.07692078151057496,-0.1604040030477757,-0.08907122288517971,-0.13604736328125,-0.0474853515625,0.19573974609375,0.09283447265625,-0.063720703125,-0.21636962890625
0.04527259127781656,-0.010723169296089454,0.05829080532907963,0.09828873847367914,0.17120703275732868,-0.07836298129864115,0.04937744140625,-0.04412841796875,0.05792236328125,0.1104736328125,0.25946044921875,0.06292724609375
0.1673557322106832,-0.10824973646137039,0.07792118325615066,0.11225797809748023,0.35394572009670167,0.038536600196932745,0.09307861328125,-0.20306396484375,0.09381103515625,0.13165283203125,0.33660888671875,0.31732177734375
-0.04568543981420268,-0.09793637290149008,0.11188014515082895,0.10616423003203845,0.1880436950233242,0.031528032583882926,-0.1085205078125,-0.0443115234375,0.12249755859375,0.114990234375,0.14141845703125,0.15679931640625
-0.2452947295389144,0.09953864704480264,0.024903830928284965,0.09781293888521966,-0.042830401618778574,-0.09523677707373653,-0.15753173828125,0.22039794921875,0.01531982421875,0.10748291015625,0.02301025390625,-0.1492919921875
-0.08754759844237421,0.20024556193186688,-0.010734831022211004,0.04332116576329419,-0.07803158114343346,-0.1573549355415896,0.04071044921875,0.19879150390625,-0.0084228515625,0.04364013671875,0.0506591796875,-0.21929931640625
0.08658155742328513,0.20107528801941524,0.08564649848906691,-0.0392338417781823,-0.1173276786297114,-0.10279395714077548,0.173095703125,0.13299560546875,0.10894775390625,-0.04608154296875,-0.05377197265625,-0.189208984375
-0.06706658317225109,0.3088701539370076,0.12821863397870792,-0.061518183985653355,-0.24987162826113657,0.004663393532747676,0.08331298828125,0.3355712890625,0.15277099609375,-0.06396484375,-0.28485107421875,-0.1903076171875
-0.24494599507119383,0.37238765343074687,-0.01664137084006735,-0.09631639708425031,-0.1622901075114672,0.07953417697462134,-0.03363037109375,0.4512939453125,-0.02813720703125,-0.12078857421875,-0.23193359375,-0.04302978515625
-0.15701874203488142,0.1685517228072278,-0.22171327942107583,-0.19905454030785663,0.1255137322376241,0.07344040213286672,-0.04803466796875,0.19708251953125,-0.2574462890625,-0.2340087890625,0.10809326171875,0.16595458984375
-0.0836279605644067,-0.044533411740058045,-0.2401719019806236,-0.18718833175882965,0.15834311873768345,0.08960044536511037,-0.0997314453125,-0.00445556640625,-0.25537109375,-0.2066650390625,0.07232666015625,0.21575927734375
-0.2170658171240988,0.027157843559898493,-0.03073672490821604,-0.08462160177281638,-0.05822834932013833,0.1912623108773485,-0.186279296875,0.1546630859375,-0.01776123046875,-0.07708740234375,-0.2315673828125,0.156494140625
-0.23512864669833797,0.14778562152079122,0.13395656651545534,-0.18523305885421687,-0.09936877583688067,0.1652364544906982,-0.12591552734375,0.2515869140625,0.1649169921875,-0.2158203125,-0.2227783203125,0.09136962890625
0.002094469610589159,0.054769305394008407,0.06664120093973365,-0.3040832705598855,-0.023431866166633484,-0.07230823225489316,0.04302978515625,0.02130126953125,0.06622314453125,-0.328857421875,0.038818359375,-0.11358642578125
0.1303528481059829,-0.016183849652807163,-0.03636264104828708,0.0047641411390832175,-0.16272006556832935,-0.19325468446290553,0.1065673828125,-0.0718994140625,-0.04541015625,0.041748046875,-0.04205322265625,-0.31781005859375
0.010291700376904292,0.14047522313777036,0.012850820501466511,0.3950782484574153,-0.3248834106730723,-0.08078328215290684,0.0970458984375,0.1539306640625,0.0186767578125,0.4912109375,-0.27423095703125,-0.319091796875
-0.022530218943825966,0.24029191415190077,0.07523173508054899,0.23855084407927007,-0.17643215659319555,-0.05706488345952612,0.10821533203125,0.2152099609375,0.084228515625,0.24755859375,-0.10845947265625,-0.1990966796875
0.1288928191581653,0.04748163618563327,0.03726977040713129,-0.12268611590991305,0.08016359106641276,-0.11850546833915064,0.13763427734375,-0.05023193359375,0.04315185546875,-0.1556396484375,0.18609619140625,-0.05950927734375
0.14793215881678595,-0.19999885787563904,-0.0015423226546288527,-0.07038049616902914,0.1450830109339565,0.0814235671880033,0.01629638671875,-0.25439453125,-0.0037841796875,-0.06414794921875,0.079345703125,0.22589111328125
-0.02088071370309867,-0.24842381489459747,-0.032391742146627954,0.1144901551350913,0.12189686758199712,0.36794858148709175,-0.1669921875,-0.19757080078125,-0.04302978515625,0.14007568359375,-0.17083740234375,0.49859619140625
-0.05663865946602682,-0.17973747440916796,-0.11735617744593084,0.0515236629594314,0.1445761347255458,0.31063699386415045,-0.135009765625,-0.13226318359375,-0.14715576171875,0.046875,-0.075439453125,0.406982421875
0.11068771164845632,-0.1128082957440026,-0.13908814256098245,0.04341954679872864,0.11729266887196514,0.1328128194493735,0.0577392578125,-0.15484619140625,-0.14666748046875,0.05389404296875,0.0169677734375,0.21636962890625
0.1767899726983316,-0.04694468549816712,-0.012385313744332412,0.156345555287209,-0.0002897556475441108,0.21673722131217765,0.13323974609375,-0.119384765625,-0.00567626953125,0.18267822265625,-0.17755126953125,0.24114990234375
-0.007542775959266952,-0.05094148534393028,0.1028691246789854,-0.016230259718579988,-0.1050325248189958,0.2966338180191206,-0.05364990234375,-0.0328369140625,0.1197509765625,-0.037353515625,-0.327880859375,0.21881103515625
-0.22918880230202665,-0.16282138832799092,0.056391653901792856,-0.3047730053053164,-0.10564788466109579,0.12900062135958934,-0.30010986328125,-0.040283203125,0.06427001953125,-0.36126708984375,-0.19024658203125,0.03985595703125
-0.24810523966268813,-0.20139131472564975,-0.13157809760905986,-0.19830678163594315,0.032405972857299625,0.06473955351079864,-0.30487060546875,-0.05767822265625,-0.16162109375,-0.20343017578125,0.00067138671875,0.10491943359375
-0.10062826622235348,-0.0753205944050046,-0.32353511441877025,0.09889791565834952,0.21121699407547911,0.2499787606175654,-0.12884521484375,-0.01397705078125,-0.39361572265625,0.1346435546875,0.03485107421875,0.44671630859375
-0.019623224077508723,-0.0178739019495534,-0.26280663131186044,0.16867842560146645,0.23156928487405296,0.31753595642303045,-0.04888916015625,-0.0098876953125,-0.28955078125,0.2032470703125,0.00048828125,0.4833984375
-0.0782912296344999,-0.13354142745418046,0.09698357060559938,0.16453284332626855,0.09515705748410398,0.19935910988538985,-0.14617919921875,-0.08770751953125,0.14520263671875,0.19512939453125,-0.06024169921875,0.258544921875
-0.06277401571631418,-0.1292710633893756,0.2846484529570614,0.17066897377120235,-0.004227954619973681,0.1790331497254623,-0.109619140625,-0.08306884765625,0.3101806640625,0.1964111328125,-0.14593505859375,0.1845703125
0.11865992473788516,0.10640237802230404,0.025320942604838092,-0.06362833962461437,-0.05581916246579849,0.1996596356318456,0.18170166015625,0.0462646484375,-0.00286865234375,-0.09130859375,-0.20941162109375,0.1644287109375
0.1930432507136948,0.20175281229321795,-0.13077709133680415,-0.3332647074433705,-0.1580535341368252,0.05872758163243688,0.2811279296875,0.08038330078125,-0.13861083984375,-0.404052734375,-0.2283935546875,-0.06707763671875
