I,Q,I_dpd,Q_dpd
0.0577961558022812,0.0519249828059542,-0.0124886455,0.015181396
-0.111277069395329,-0.14003670966545,-0.09279139,-0.14806819
-0.0144621758260542,-0.056570241135419,0.040825322,0.038475513
-0.012022282736257,0.198990984450347,-0.07325017,0.18091911
-0.119672030570839,0.0368743471835946,-0.09293153,-0.04607764
0.0292624605221674,-0.100885987581715,0.0737924,-0.019017633
-0.0245611197924669,0.22082801088187,-0.0792407,0.27702445
-0.122666361127535,0.308137520410191,-0.08807316,0.18494177
0.0744378130692284,0.0023065174992223,0.09659162,-0.016073892
-0.0293900574284859,0.103462775253351,-0.08027096,0.20867692
-0.13308145342004,0.446192416037366,-0.0757177,0.36865994
0.15596836781401,0.223326232011,0.14825885,0.09634836
0.0159750785757214,-0.0319437597326803,-0.06980269,0.04160041
-0.200933720003424,0.327209005919926,-0.11712699,0.34319493
0.171000796024929,0.385794773466591,0.18645272,0.22278437
0.155406714023807,-0.0761561443397297,0.029103078,-0.08883478
-0.207785417451338,0.041900862371589,-0.15636194,0.12914762
0.0247723245452206,0.332206171615942,0.0929939,0.2200082
0.226316362473021,-0.0495493729369326,0.14280725,-0.13025999
-0.0281186530672353,-0.203013471891656,-0.047995538,-0.10630463
-0.109061473105413,0.0820492890929579,-0.0694329,0.064517915
0.0541441828196448,-0.0643547790176086,0.080262005,-0.15429316
0.172476506461524,-0.270116149736723,0.16192411,-0.21326078
0.0141430971423554,-0.177181575359266,-0.059939884,-0.12968734
-0.196420726203732,-0.1950888635798,-0.13825352,-0.2107656
0.115095831676998,-0.193489464255244,0.21513198,-0.16246334
0.283394361820018,-0.242928155331205,0.14666426,-0.222718
-0.18610708797269,-0.384895380242089,-0.21065536,-0.31309503
-0.127384061415404,-0.126204871441874,0.04579569,-0.058257647
0.329799111536479,-0.0708997155616859,0.2641589,-0.132398
0.0652202676438434,-0.473566075633084,-0.031206101,-0.4013888
-0.182034110267821,-0.184264922891285,-0.07196265,-0.014733724
0.0938598820547318,0.170091916309224,0.099660255,0.064633556
0.155474890486725,-0.34346221482257,0.111199975,-0.38423526
0.0391826418488549,-0.30872581358582,0.057320543,-0.08209961
-0.0618477857986445,0.244704185777524,-0.113146625,0.21385682
-0.0902698270797216,-0.0796181356974714,-0.046647724,-0.2308597
0.164741788895515,-0.318539235943699,0.2128485,-0.16665162
0.0696944026017739,0.0999574833188915,-0.07869747,0.16695777
-0.33512406813944,0.0639483316245348,-0.3082009,-0.051682003
-0.0577917084108395,-0.144445685626825,0.094023645,-0.114536524
0.202082847327506,-0.0525069477895113,0.08477415,-0.0023809746
-0.253677398622873,-0.0601479603592887,-0.31681794,-0.057940334
-0.339602091346112,0.0311927540298191,-0.18986073,0.039649546
0.026653523517889,0.0107166135951312,0.0381845,-0.06262657
-0.0230262222157834,-0.277293899027449,-0.072849035,-0.23164389
-0.277521248101118,-0.0182783390445336,-0.23992951,0.10073126
-0.268476062830929,0.21718396580744,-0.20668526,0.08115853
0.0038238202940879,-0.277065678094936,0.072420195,-0.32873756
0.0575769269648595,-0.233665156682663,0.019153286,-0.014048614
-0.285242185591316,0.279344623072455,-0.30488786,0.233951
-0.131235517856037,-0.0207661720298032,0.025119387,-0.1874672
0.299375612298605,-0.301522454772391,0.27875867,-0.14916992
-0.0227848996717949,0.102017866580807,-0.1312389,0.1846559
-0.120292128845323,0.187154104186586,0.010300793,0.058759518
0.369583554717593,-0.0814055671541578,0.36830956,-0.06690957
